Running simulation round 1 / 100
User delegation decisions:
[1/100] User 1: Pool 1: 16909.7, Pool 2: 16909.7, Pool 3: 16909.7, Pool 4: 16909.7, Pool 5: 16909.7, Pool 6: 16909.7, Pool 7: 16909.7, Pool 8: 16909.7, Pool 9: 16909.7, Pool 10: 16909.7, Pool 11: 16909.7, Pool 12: 16909.7, Pool 13: 16909.7, Pool 14: 16909.7, Pool 15: 16909.7, Pool 16: 16909.7, Pool 17: 16909.7, Pool 18: 16909.7, Pool 19: 16909.7, Pool 20: 16909.7
[2/100] User 2: Pool 1: 3816861.2, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[3/100] User 3: Pool 1: 314263.3, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[4/100] User 4: Pool 1: 52050.8, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[5/100] User 5: Pool 1: 12531.5, Pool 2: 12531.5, Pool 3: 12531.5, Pool 4: 12531.5, Pool 5: 12531.5, Pool 6: 12531.5, Pool 7: 12531.5, Pool 8: 12531.5, Pool 9: 12531.5, Pool 10: 12531.5, Pool 11: 12531.5, Pool 12: 12531.5, Pool 13: 12531.5, Pool 14: 12531.5, Pool 15: 12531.5, Pool 16: 12531.5, Pool 17: 12531.5, Pool 18: 12531.5, Pool 19: 12531.5, Pool 20: 12531.5
[6/100] User 6: Pool 1: 12531.2, Pool 2: 12531.2, Pool 3: 12531.2, Pool 4: 12531.2, Pool 5: 12531.2, Pool 6: 12531.2, Pool 7: 12531.2, Pool 8: 12531.2, Pool 9: 12531.2, Pool 10: 12531.2, Pool 11: 12531.2, Pool 12: 12531.2, Pool 13: 12531.2, Pool 14: 12531.2, Pool 15: 12531.2, Pool 16: 12531.2, Pool 17: 12531.2, Pool 18: 12531.2, Pool 19: 12531.2, Pool 20: 12531.2
[7/100] User 7: Pool 1: 99809.5, Pool 2: 74857.1, Pool 3: 49904.7, Pool 4: 0.0, Pool 5: 0.0, Pool 6: 0.0, Pool 7: 0.0, Pool 8: 0.0, Pool 9: 0.0, Pool 10: 0.0, Pool 11: 0.0, Pool 12: 0.0, Pool 13: 0.0, Pool 14: 0.0, Pool 15: 0.0, Pool 16: 0.0, Pool 17: 0.0, Pool 18: 0.0, Pool 19: 0.0, Pool 20: 0.0
[8/100] User 8: Pool 1: 1105640.1, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[9/100] User 9: Pool 1: 55296.6, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[10/100] User 10: Pool 1: 249588.9, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[11/100] User 11: Pool 1: 10798.7, Pool 2: 10798.7, Pool 3: 10798.7, Pool 4: 10798.7, Pool 5: 10798.7, Pool 6: 10798.7, Pool 7: 10798.7, Pool 8: 10798.7, Pool 9: 10798.7, Pool 10: 10798.7, Pool 11: 10798.7, Pool 12: 10798.7, Pool 13: 10798.7, Pool 14: 10798.7, Pool 15: 10798.7, Pool 16: 10798.7, Pool 17: 10798.7, Pool 18: 10798.7, Pool 19: 10798.7, Pool 20: 10798.7
[12/100] User 12: Pool 1: 6554787.9, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[13/100] User 13: Pool 1: 787417.6, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[14/100] User 14: Pool 1: 13427.6, Pool 2: 13427.6, Pool 3: 13427.6, Pool 4: 13427.6, Pool 5: 13427.6, Pool 6: 13427.6, Pool 7: 13427.6, Pool 8: 13427.6, Pool 9: 13427.6, Pool 10: 13427.6, Pool 11: 13427.6, Pool 12: 13427.6, Pool 13: 13427.6, Pool 14: 13427.6, Pool 15: 13427.6, Pool 16: 13427.6, Pool 17: 13427.6, Pool 18: 13427.6, Pool 19: 13427.6, Pool 20: 13427.6
[15/100] User 15: Pool 1: 12926.8, Pool 2: 12926.8, Pool 3: 12926.8, Pool 4: 12926.8, Pool 5: 12926.8, Pool 6: 12926.8, Pool 7: 12926.8, Pool 8: 12926.8, Pool 9: 12926.8, Pool 10: 12926.8, Pool 11: 12926.8, Pool 12: 12926.8, Pool 13: 12926.8, Pool 14: 12926.8, Pool 15: 12926.8, Pool 16: 12926.8, Pool 17: 12926.8, Pool 18: 12926.8, Pool 19: 12926.8, Pool 20: 12926.8
[16/100] User 16: Pool 1: 12951.8, Pool 2: 12951.8, Pool 3: 12951.8, Pool 4: 12951.8, Pool 5: 12951.8, Pool 6: 12951.8, Pool 7: 12951.8, Pool 8: 12951.8, Pool 9: 12951.8, Pool 10: 12951.8, Pool 11: 12951.8, Pool 12: 12951.8, Pool 13: 12951.8, Pool 14: 12951.8, Pool 15: 12951.8, Pool 16: 12951.8, Pool 17: 12951.8, Pool 18: 12951.8, Pool 19: 12951.8, Pool 20: 12951.8
[17/100] User 17: Pool 1: 15201.2, Pool 2: 15201.2, Pool 3: 15201.2, Pool 4: 15201.2, Pool 5: 15201.2, Pool 6: 15201.2, Pool 7: 15201.2, Pool 8: 15201.2, Pool 9: 15201.2, Pool 10: 15201.2, Pool 11: 15201.2, Pool 12: 15201.2, Pool 13: 15201.2, Pool 14: 15201.2, Pool 15: 15201.2, Pool 16: 15201.2, Pool 17: 15201.2, Pool 18: 15201.2, Pool 19: 15201.2, Pool 20: 15201.2
[18/100] User 18: Pool 1: 22254.6, Pool 2: 22254.6, Pool 3: 22254.6, Pool 4: 22254.6, Pool 5: 22254.6, Pool 6: 22254.6, Pool 7: 22254.6, Pool 8: 22254.6, Pool 9: 22254.6, Pool 10: 22254.6, Pool 11: 22254.6, Pool 12: 22254.6, Pool 13: 22254.6, Pool 14: 22254.6, Pool 15: 22254.6, Pool 16: 22254.6, Pool 17: 22254.6, Pool 18: 22254.6, Pool 19: 22254.6, Pool 20: 22254.6
[19/100] User 19: Pool 1: 372352.3, Pool 2: 1.0, Pool 3: 1.0, Pool 4: 1.0, Pool 5: 1.0, Pool 6: 1.0, Pool 7: 1.0, Pool 8: 1.0, Pool 9: 1.0, Pool 10: 1.0, Pool 11: 1.0, Pool 12: 1.0, Pool 13: 1.0, Pool 14: 1.0, Pool 15: 1.0, Pool 16: 1.0, Pool 17: 1.0, Pool 18: 1.0, Pool 19: 1.0, Pool 20: 1.0
[20/100] User 20: Pool 1: 14922.1, Pool 2: 14922.1, Pool 3: 14922.1, Pool 4: 14922.1, Pool 5: 14922.1, Pool 6: 14922.1, Pool 7: 14922.1, Pool 8: 14922.1, Pool 9: 14922.1, Pool 10: 14922.1, Pool 11: 14922.1, Pool 12: 14922.1, Pool 13: 14922.1, Pool 14: 14922.1, Pool 15: 14922.1, Pool 16: 14922.1, Pool 17: 14922.1, Pool 18: 14922.1, Pool 19: 14922.1, Pool 20: 14922.1
[21/100] User 21: Pool 1: 69967.0, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[22/100] User 22: Pool 1: 12290.9, Pool 2: 12290.9, Pool 3: 12290.9, Pool 4: 12290.9, Pool 5: 12290.9, Pool 6: 12290.9, Pool 7: 12290.9, Pool 8: 12290.9, Pool 9: 12290.9, Pool 10: 12290.9, Pool 11: 12290.9, Pool 12: 12290.9, Pool 13: 12290.9, Pool 14: 12290.9, Pool 15: 12290.9, Pool 16: 12290.9, Pool 17: 12290.9, Pool 18: 12290.9, Pool 19: 12290.9, Pool 20: 12290.9
[23/100] User 23: Pool 1: 14941.4, Pool 2: 14941.4, Pool 3: 14941.4, Pool 4: 14941.4, Pool 5: 14941.4, Pool 6: 14941.4, Pool 7: 14941.4, Pool 8: 14941.4, Pool 9: 14941.4, Pool 10: 14941.4, Pool 11: 14941.4, Pool 12: 14941.4, Pool 13: 14941.4, Pool 14: 14941.4, Pool 15: 14941.4, Pool 16: 14941.4, Pool 17: 14941.4, Pool 18: 14941.4, Pool 19: 14941.4, Pool 20: 14941.4
[24/100] User 24: Pool 1: 16691.5, Pool 2: 16691.5, Pool 3: 16691.5, Pool 4: 16691.5, Pool 5: 16691.5, Pool 6: 16691.5, Pool 7: 16691.5, Pool 8: 16691.5, Pool 9: 16691.5, Pool 10: 16691.5, Pool 11: 16691.5, Pool 12: 16691.5, Pool 13: 16691.5, Pool 14: 16691.5, Pool 15: 16691.5, Pool 16: 16691.5, Pool 17: 16691.5, Pool 18: 16691.5, Pool 19: 16691.5, Pool 20: 16691.5
[25/100] User 25: Pool 1: 19444.4, Pool 2: 19444.4, Pool 3: 19444.4, Pool 4: 19444.4, Pool 5: 19444.4, Pool 6: 19444.4, Pool 7: 19444.4, Pool 8: 19444.4, Pool 9: 19444.4, Pool 10: 19444.4, Pool 11: 19444.4, Pool 12: 19444.4, Pool 13: 19444.4, Pool 14: 19444.4, Pool 15: 19444.4, Pool 16: 19444.4, Pool 17: 19444.4, Pool 18: 19444.4, Pool 19: 19444.4, Pool 20: 19444.4
[26/100] User 26: Pool 1: 509654.0, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
